"baseMean" "log2FoldChange" "lfcSE" "stat" "pvalue" "padj"
"FBgn0038330" 185.898430005092 8.16663469714232 0.819791504475878 9.73244121184843 2.19266502267192e-22 3.8758853209273e-20
"FBgn0032264" 296.829482790226 -11.6899009835135 1.19272518341041 -9.70851118830323 2.77358637491454e-22 4.80061575058125e-20
"FBgn0063368" 406.699934641523 10.6989907882813 1.04070274392014 9.6753782402665 3.8367026873608e-22 6.50516855644766e-20
"FBgn0261386" 357.182038186274 11.1616626083049 1.15695779739896 9.64615826711488 5.10317922118534e-22 8.47944259392155e-20
"FBgn0262477" 327.584988219815 7.04818550866821 0.727404135895842 9.63709845146343 5.57412607123927e-22 9.0803606666384e-20
"FBgn0038407" 522.16853968026 -11.4909729685057 1.15403089999243 -9.62847741158782 6.06210341378219e-22 9.68537599263508e-20
"FBgn0002735" 338.056788872705 10.4543583069761 1.0291600431223 9.57160569652063 1.05258032868921e-21 1.64996931523583e-19
"FBgn0035538" 317.600074074959 8.48782044410608 0.873418360670746 9.55768283343848 1.20422629921015e-21 1.85272446182184e-19
"FBgn0037754" 297.467971382428 9.72767058183725 0.971520849164654 9.52322754748418 1.67882236688174e-21 2.53593749528246e-19
"FBgn0052412" 225.342910588913 -10.8103354002968 1.11135405050923 -9.51923919619651 1.74451524338451e-21 2.5881129717926e-19
"FBgn0030160" 326.468519927267 -11.2514654071065 1.17130672668653 -9.38971662902236 6.01618957088859e-21 8.76886016753375e-19
"FBgn0031520" 453.882912474872 -12.1571830527219 1.28723660732988 -9.35319076382597 8.50426695799667e-21 1.21816292908683e-18
"FBgn0030723" 295.668148326418 8.00636784985274 0.846724074112575 9.34185182500074 9.46637218219078e-21 1.33299356084137e-18
"FBgn0023524" 291.628691977103 9.6560239680435 0.989594728635548 9.29977190807756 1.40747294852485e-20 1.94888087605741e-18
"FBgn0039862" 275.649826154211 9.24343873397438 0.964382118977438 9.24713677316719 2.30586612478721e-20 3.14051405979215e-18
"FBgn0013995" 165.198201502461 7.932027406882 0.851553044534301 9.12032904569037 7.48965824629847e-20 1.00361420500399e-17
"FBgn0010114" 143.191401744587 8.3377938959779 0.888683059031708 9.06266977836579 1.27295946109098e-19 1.67869003218157e-17
"FBgn0036816" 622.015662085466 -8.75947093597179 0.962464771570542 -9.04596049085917 1.48355106336231e-19 1.92583472412719e-17
"FBgn0039908" 475.598266437108 5.25679638237226 0.580752781955051 9.04383694484672 1.51266833509843e-19 1.93342285046119e-17
"FBgn0037107" 283.897545816082 9.18763856805885 0.983939746284073 9.03329226212827 1.66583029469592e-19 2.09692698308086e-17
"FBgn0026197" 5510.77099561007 3.83149000995551 0.424644444011534 9.02271719873018 1.83480761785234e-19 2.2751614461369e-17
